file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/reflect/TypeToken.java,com.google.common.reflect.TypeToken$SimpleTypeToken,SimpleTypeToken/1[java.lang.reflect.Type],true,1313,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/ForwardingNavigableMap.java,com.google.common.collect.ForwardingNavigableMap$StandardDescendingMap$Anonymous1,hasNext/0,false,298,0,5,1,4,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/ForwardingNavigableMap.java,com.google.common.collect.ForwardingNavigableMap$StandardDescendingMap$Anonymous1,remove/0,false,316,1,17,0,17,2,3,7,0,0,0,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,14,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/ForwardingNavigableMap.java,com.google.common.collect.ForwardingNavigableMap$StandardDescendingMap$Anonymous1,next/0,false,303,3,19,0,19,2,3,12,1,0,0,3,0,0,0,1,1,0,0,0,2,0,1,0,0,0,11,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Maps.java,com.google.common.collect.Maps$ValueDifferenceImpl,hashCode/0,false,714,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Maps.java,com.google.common.collect.Maps$ValueDifferenceImpl,toString/0,false,719,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Maps.java,com.google.common.collect.Maps$ValueDifferenceImpl,"ValueDifferenceImpl/2[V,V]",true,686,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Maps.java,com.google.common.collect.Maps$ValueDifferenceImpl,equals/1[java.lang.Object],false,704,2,2,0,2,2,3,7,2,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Maps.java,com.google.common.collect.Maps$ValueDifferenceImpl,leftValue/0,false,693,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Maps.java,com.google.common.collect.Maps$ValueDifferenceImpl,rightValue/0,false,699,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Maps.java,com.google.common.collect.Maps$ValueDifferenceImpl,"create/2[V,V]",false,682,5,2,1,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/DenseImmutableTable.java,com.google.common.collect.DenseImmutableTable$Column,getValue/1[int],false,202,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/DenseImmutableTable.java,com.google.common.collect.DenseImmutableTable$Column,Column/1[int],true,191,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/DenseImmutableTable.java,com.google.common.collect.DenseImmutableTable$Column,writeReplace/0,false,216,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/DenseImmutableTable.java,com.google.common.collect.DenseImmutableTable$Column,keyToIndex/0,false,197,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/DenseImmutableTable.java,com.google.common.collect.DenseImmutableTable$Column,isPartialView/0,false,207,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous2,iterator/0,false,113,4,47,2,45,2,13,8,2,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/LinkedListMultimap.java,com.google.common.collect.LinkedListMultimap$1ValuesImpl$Anonymous2,set/1[V],false,773,3,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/LinkedListMultimap.java,com.google.common.collect.LinkedListMultimap$1ValuesImpl$Anonymous2,"transform/1[java.util.Map.Entry<K,V>]",false,768,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/PeekingIterator.java,com.google.common.collect.PeekingIterator,remove/0,false,62,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,true
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/PeekingIterator.java,com.google.common.collect.PeekingIterator,next/0,false,51,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/PeekingIterator.java,com.google.common.collect.PeekingIterator,peek/0,false,39,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,true
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous1,iterator/0,false,70,4,47,2,45,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous1,contains/1[java.lang.Object],false,89,5,15,0,15,2,6,7,2,1,1,6,0,0,0,0,0,1,1,0,1,0,1,0,0,0,13,1,0,false
